date,country,D,H,I,M,S
2021-11-03,Japan,28,0,0,97,0
2021-11-04,Japan,28,0,0,97,0
2021-11-05,Japan,28,0,0,97,0
2021-11-06,Japan,28,0,0,97,0
2021-11-07,Japan,28,0,0,97,0
2021-11-08,Japan,28,0,0,97,0
2021-11-09,Japan,28,0,0,97,0
2021-11-10,Japan,28,0,0,97,0
2021-11-11,Japan,28,0,0,97,0
2021-11-12,Japan,28,0,0,97,0
2021-11-13,Japan,28,0,0,97,0
2021-11-14,Japan,28,0,0,97,0
2021-11-15,Japan,28,0,0,97,0
2021-11-16,Japan,28,0,0,97,0
2021-11-17,Japan,28,0,0,97,0
2021-11-18,Japan,28,0,0,97,0
2021-11-19,Japan,28,0,0,97,0
2021-11-20,Japan,28,0,0,97,0
2021-11-21,Japan,28,0,0,97,0
2021-11-22,Japan,28,0,0,97,0
2021-11-23,Japan,28,0,0,97,0
2021-11-24,Japan,28,0,0,97,0
2021-11-25,Japan,28,0,0,97,0
2021-11-26,Japan,28,0,0,97,0
2021-11-27,Japan,28,0,0,97,0
2021-11-28,Japan,28,0,0,97,0
2021-11-29,Japan,28,0,0,97,0
2021-11-30,Japan,28,0,0,97,0
2021-12-01,Japan,28,0,0,97,0
2021-12-02,Japan,28,0,0,97,0
2021-12-03,Japan,28,0,0,97,0
2021-12-04,Japan,28,0,0,97,0
2021-12-05,Japan,28,0,0,97,0
2021-12-06,Japan,28,3,0,94,0
2021-12-07,Japan,28,4,1,92,0
2021-12-08,Japan,28,5,2,90,0
2021-12-09,Japan,28,9,3,85,0
2021-12-10,Japan,28,5,7,85,0
2021-12-11,Japan,28,4,8,84,1
2021-12-12,Japan,28,2,10,84,1
2021-12-13,Japan,28,5,10,80,2
2021-12-14,Japan,28,5,8,81,3
2021-12-15,Japan,28,5,7,81,4
2021-12-16,Japan,28,2,7,83,5
2021-12-17,Japan,28,2,6,83,6
2021-12-18,Japan,28,3,4,84,6
2021-12-19,Japan,28,2,4,84,7
2021-12-20,Japan,28,2,2,85,8
2021-12-21,Japan,28,10,3,76,8
2021-12-22,Japan,28,10,6,73,8
2021-12-23,Japan,28,16,8,65,8
2021-12-24,Japan,28,10,16,63,8
2021-12-25,Japan,28,16,16,57,8
2021-12-26,Japan,28,12,21,53,11
2021-12-27,Japan,28,18,21,47,11
2021-12-28,Japan,28,13,21,47,16
2021-12-29,Japan,29,13,23,44,16
2021-12-30,Japan,29,13,16,48,19
2021-12-31,Japan,29,7,20,48,21
2022-01-01,Japan,29,3,15,53,25
2022-01-02,Japan,29,3,13,54,26
2022-01-03,Japan,29,3,13,55,25
2022-01-04,Japan,29,5,8,57,26
2022-01-05,Japan,29,3,7,58,28
2022-01-06,Japan,29,3,7,57,29
2022-01-07,Japan,29,6,7,53,30
2022-01-08,Japan,30,5,7,52,31
2022-01-09,Japan,31,4,6,53,31
2022-01-10,Japan,31,5,5,54,30
2022-01-11,Japan,32,5,6,57,25
2022-01-12,Japan,32,3,6,59,25
2022-01-13,Japan,33,3,4,63,22
2022-01-14,Japan,34,1,6,65,19
2022-01-15,Japan,35,2,4,68,16
2022-01-16,Japan,35,2,3,70,15
2022-01-17,Japan,35,2,3,70,15
2022-01-18,Japan,35,0,3,72,15
2022-01-19,Japan,35,0,3,74,13
2022-01-20,Japan,35,0,2,75,13
2022-01-21,Japan,35,0,2,76,12
2022-01-22,Japan,35,0,0,79,11
2022-01-23,Japan,35,0,0,82,8
2022-01-24,Japan,35,1,0,81,8
2022-01-25,Japan,36,2,0,80,7
2022-01-26,Japan,37,2,0,80,6
2022-01-27,Japan,37,2,0,81,5
2022-01-28,Japan,37,2,0,81,5
2022-01-29,Japan,37,2,0,82,4
2022-01-30,Japan,37,2,0,83,3
2022-01-31,Japan,37,2,0,83,3
2022-02-01,Japan,37,1,1,84,2
2022-02-02,Japan,37,1,1,84,2
2022-02-03,Japan,37,1,1,85,1
2022-02-04,Japan,37,1,1,85,1
2022-02-05,Japan,37,0,1,87,0
2022-02-06,Japan,37,0,1,87,0
2022-02-07,Japan,37,0,1,87,0
2022-02-08,Japan,37,0,1,87,0
2022-02-09,Japan,37,0,0,88,0
2022-02-10,Japan,37,0,0,88,0
2022-02-11,Japan,37,0,0,88,0
2022-02-12,Japan,37,0,0,88,0
2022-02-13,Japan,37,0,0,88,0
2022-02-14,Japan,37,0,0,88,0
2022-02-15,Japan,37,0,0,88,0
2022-02-16,Japan,37,0,0,88,0
2022-02-17,Japan,37,0,0,88,0
2022-02-18,Japan,37,0,0,88,0
2022-02-19,Japan,37,0,0,88,0
2022-02-20,Japan,37,0,0,88,0
2022-02-21,Japan,37,0,0,88,0
2022-02-22,Japan,37,0,0,88,0
2022-02-23,Japan,37,0,0,88,0
2022-02-24,Japan,37,0,0,88,0
2022-02-25,Japan,37,0,0,88,0
2022-02-26,Japan,37,0,0,88,0
2022-02-27,Japan,37,0,0,88,0
2022-02-28,Japan,37,0,0,88,0
2022-03-01,Japan,37,0,0,88,0
2022-03-02,Japan,37,0,0,88,0
2022-03-03,Japan,37,0,0,88,0
2022-03-04,Japan,37,0,0,88,0
2022-03-05,Japan,37,0,0,88,0
2022-03-06,Japan,37,0,0,88,0
2022-03-07,Japan,37,0,0,88,0
2022-03-08,Japan,37,0,0,88,0
2022-03-09,Japan,37,0,0,88,0
2022-03-10,Japan,37,0,0,88,0
2022-03-11,Japan,37,0,0,88,0
2022-03-12,Japan,37,0,0,88,0
2022-03-13,Japan,37,0,0,88,0
2022-03-14,Japan,37,0,0,88,0
2022-03-15,Japan,37,0,0,88,0
2022-03-16,Japan,37,0,0,88,0
2022-03-17,Japan,37,0,0,88,0
2022-03-18,Japan,37,0,0,88,0
2022-03-19,Japan,37,0,0,88,0
2022-03-20,Japan,37,0,0,88,0
2022-03-21,Japan,37,0,0,88,0
2022-03-22,Japan,37,0,0,88,0
2022-03-23,Japan,37,0,0,88,0
2022-03-24,Japan,37,0,0,88,0
2022-03-25,Japan,37,0,0,88,0
2022-03-26,Japan,37,0,0,88,0
2022-03-27,Japan,37,0,0,88,0
2022-03-28,Japan,37,0,0,88,0
2022-03-29,Japan,37,0,0,88,0
2022-03-30,Japan,37,0,0,88,0
2022-03-31,Japan,37,0,0,88,0
2022-04-01,Japan,37,0,0,88,0
2022-04-02,Japan,37,0,0,88,0
2022-04-03,Japan,37,0,0,88,0
2022-04-04,Japan,37,0,0,88,0
2022-04-05,Japan,37,0,0,88,0
2022-04-06,Japan,37,0,0,88,0
2022-04-07,Japan,37,0,0,88,0
2022-04-08,Japan,37,0,0,88,0
2022-04-09,Japan,37,0,0,88,0
2022-04-10,Japan,37,0,0,88,0
2022-04-11,Japan,37,1,0,87,0
2022-04-12,Japan,37,1,0,87,0
2022-04-13,Japan,37,4,0,84,0
2022-04-14,Japan,37,5,0,83,0
2022-04-15,Japan,37,5,2,81,0
2022-04-16,Japan,37,2,5,81,0
2022-04-17,Japan,37,4,5,79,0
2022-04-18,Japan,37,4,5,79,0
2022-04-19,Japan,37,6,3,77,2
2022-04-20,Japan,37,4,2,78,4
2022-04-21,Japan,37,3,3,78,4
2022-04-22,Japan,37,4,3,77,4
2022-04-23,Japan,37,4,4,76,4
2022-04-24,Japan,37,5,2,75,6
2022-04-25,Japan,37,5,1,76,6
2022-04-26,Japan,37,7,2,73,6
2022-04-27,Japan,37,6,6,69,7
2022-04-28,Japan,37,5,7,69,7
2022-04-29,Japan,37,9,8,64,7
2022-04-30,Japan,37,8,9,63,8
